Read_date_effective_local,type,n_hh
25/03/2018,start,46
28/10/2018,end,50
31/03/2019,start,46
27/10/2019,end,50
29/03/2020,start,46
25/10/2020,end,50
28/03/2021,start,46
31/10/2021,end,50
27/03/2022,start,46
30/10/2022,end,50
26/03/2023,start,46
29/10/2023,end,50
31/03/2024,start,46
27/10/2024,end,50
30/03/2025,start,46
26/10/2025,end,50
29/03/2026,start,46
25/10/2026,end,50
28/03/2027,start,46
31/10/2027,end,50
26/03/2028,start,46
29/10/2028,end,50
25/03/2029,start,46
28/10/2029,end,50
31/03/2030,start,46
27/10/2030,end,50
